Date,Value,Anomaly,Year
1900-01-01,51.38,-0.86,1900
1901-01-01,51.74,-0.5,1901
1902-01-01,51.75,-0.49,1902
1903-01-01,51.73,-0.51,1903
1904-01-01,51.53,-0.71,1904
1905-01-01,51.47,-0.77,1905
1906-01-01,51.26,-0.98,1906
1907-01-01,51.22,-1.02,1907
1908-01-01,51.21,-1.03,1908
1909-01-01,51.56,-0.68,1909
1910-01-01,51.57,-0.67,1910
1911-01-01,51.82,-0.42,1911
1912-01-01,51.78,-0.46,1912
1913-01-01,51.59,-0.65,1913
1914-01-01,51.56,-0.68,1914
1915-01-01,51.58,-0.66,1915
1916-01-01,51.33,-0.91,1916
1917-01-01,51.23,-1.01,1917
1918-01-01,51.03,-1.21,1918
1919-01-01,51.16,-1.08,1919
1920-01-01,51.16,-1.08,1920
1921-01-01,51.17,-1.07,1921
1922-01-01,51.64,-0.6,1922
1923-01-01,52.23,-0.01,1923
1924-01-01,51.91,-0.33,1924
1925-01-01,51.81,-0.43,1925
1926-01-01,52.04,-0.2,1926
1927-01-01,51.81,-0.43,1927
1928-01-01,51.71,-0.53,1928
1929-01-01,51.81,-0.43,1929
1930-01-01,51.78,-0.46,1930
1931-01-01,51.8,-0.44,1931
1932-01-01,52.08,-0.16,1932
1933-01-01,52.03,-0.21,1933
1934-01-01,52.35,0.11,1934
1935-01-01,52.99,0.75,1935
1936-01-01,52.75,0.51,1936
1937-01-01,52.45,0.21,1937
1938-01-01,52.49,0.25,1938
1939-01-01,52.55,0.31,1939
1940-01-01,52.27,0.03,1940
1941-01-01,52.48,0.24,1941
1942-01-01,52.58,0.34,1942
1943-01-01,52.51,0.27,1943
1944-01-01,52.3,0.06,1944
1945-01-01,52.16,-0.08,1945
1946-01-01,52.0,-0.24,1946
1947-01-01,52.11,-0.13,1947
1948-01-01,52.07,-0.17,1948
1949-01-01,51.9,-0.34,1949
1950-01-01,52.04,-0.2,1950
1951-01-01,51.95,-0.29,1951
1952-01-01,51.6,-0.64,1952
1953-01-01,51.81,-0.43,1953
1954-01-01,52.11,-0.13,1954
1955-01-01,52.27,0.03,1955
1956-01-01,52.36,0.12,1956
1957-01-01,52.51,0.27,1957
1958-01-01,52.46,0.22,1958
1959-01-01,52.23,-0.01,1959
1960-01-01,52.01,-0.23,1960
1961-01-01,51.94,-0.3,1961
1962-01-01,51.87,-0.37,1962
1963-01-01,51.72,-0.52,1963
1964-01-01,51.94,-0.3,1964
1965-01-01,51.86,-0.38,1965
1966-01-01,51.81,-0.43,1966
1967-01-01,51.89,-0.35,1967
1968-01-01,51.84,-0.4,1968
1969-01-01,51.54,-0.7,1969
1970-01-01,51.46,-0.78,1970
1971-01-01,51.58,-0.66,1971
1972-01-01,51.51,-0.73,1972
1973-01-01,51.49,-0.75,1973
1974-01-01,51.7,-0.54,1974
1975-01-01,51.91,-0.33,1975
1976-01-01,51.82,-0.42,1976
1977-01-01,51.66,-0.58,1977
1978-01-01,51.94,-0.3,1978
1979-01-01,51.61,-0.63,1979
1980-01-01,51.46,-0.78,1980
1981-01-01,51.7,-0.54,1981
1982-01-01,52.04,-0.2,1982
1983-01-01,51.87,-0.37,1983
1984-01-01,52.03,-0.21,1984
1985-01-01,52.05,-0.19,1985
1986-01-01,51.95,-0.29,1986
1987-01-01,52.04,-0.2,1987
1988-01-01,52.26,0.02,1988
1989-01-01,52.59,0.35,1989
1990-01-01,52.64,0.4,1990
1991-01-01,52.83,0.59,1991
1992-01-01,52.92,0.68,1992
1993-01-01,52.78,0.54,1993
1994-01-01,52.38,0.14,1994
1995-01-01,52.61,0.37,1995
1996-01-01,52.5,0.26,1996
1997-01-01,52.18,-0.06,1997
1998-01-01,52.24,0.0,1998
1999-01-01,52.83,0.59,1999
2000-01-01,52.97,0.73,2000
2001-01-01,53.11,0.87,2001
2002-01-01,53.52,1.28,2002
2003-01-01,53.61,1.37,2003
2004-01-01,53.39,1.15,2004
2005-01-01,53.29,1.05,2005
2006-01-01,53.49,1.25,2006
2007-01-01,53.42,1.18,2007
2008-01-01,53.52,1.28,2008
2009-01-01,53.39,1.15,2009
2010-01-01,53.19,0.95,2010
2011-01-01,52.95,0.71,2011
2012-01-01,52.97,0.73,2012
2013-01-01,53.25,1.01,2013
2014-01-01,53.23,0.99,2014
2015-01-01,53.31,1.07,2015
2016-01-01,53.6,1.36,2016
2017-01-01,53.86,1.62,2017
2018-01-01,53.75,1.51,2018
2019-01-01,54.01,1.77,2019
2020-01-01,54.04,1.8,2020
2021-01-01,54.03,1.79,2021
2022-01-01,53.87,1.63,2022
2023-01-01,53.73,1.49,2023
2024-01-01,53.84,1.6,2024
2025-01-01,54.31,2.07,2025
